Symbol,EarningsAmntDate,PeriodEnding,EstEarnings,RptEarnings,Surprise,SurprisePct
EJUD,29-OCT-20,Sep 2020,18.62,14.43,-4.19,-22.53
WWB,29-OCT-20,Sep 2020,6.74,5.29,-1.44,-21.45
EWU,29-OCT-20,Sep 2020,18.74,16.62,-2.11,-11.28
OFCJ,29-OCT-20,Sep 2020,7.63,7.04,-0.59,-7.7
DAMQ,29-OCT-20,Sep 2020,3.5,3.8,0.3,8.57
BQFW,29-OCT-20,Sep 2020,4.12,4.82,0.69,16.84
NEOK,29-OCT-20,Sep 2020,19.99,25.94,5.95,29.78
NPBI,29-OCT-20,Sep 2020,19.18,26.34,7.15,37.3
QEXC,29-OCT-20,Sep 2020,18.44,25.4,6.96,37.78
NMD,29-OCT-20,Sep 2020,1.19,1.77,0.58,49.09
